Comment Title,Comment Body,Poster,Date,Time,Recs
,"excellent, I thought all their games would be like this, a walk in the park. but I guess its a harder league then I thought it was.
that second goal from Balzaretti was meant to be a cross (you dont need me telling you that)
GREAT DEL PIERO!!",Marcello ,"Feb 22, 2007 ", 7:33 AM,
,Miccoli?,Marcello ,"Feb 16, 2007 ", 4:36 PM,
,If they land Pato that would be a real coup. It seems like all the big clubs in the world are after him.,Bob ,"Feb 15, 2007 ", 10:55 AM,
,"luogo interessante, soddisfare interessante, buon!",Giorgia Palmas ,"Mar 4, 2007 ", 10:40 AM,
,Luogo molto buon:) Buona fortuna!,tempo ,"Mar 10, 2007 ", 8:14 AM,
,"mmm.. nice design, I must say..",italia ,"Mar 12, 2007 ", 8:10 PM,
,Nice site. Thanks.,google ,"Mar 15, 2007 ", 9:56 AM,
,Lo trovo piuttosto impressionante. Lavoro grande fatto..),cannavaro ,"Mar 17, 2007 ", 5:21 AM,
,Stupore! ho una sensibilità molto buona circa il vostro luogo!!!!,verona ,"Mar 18, 2007 ", 8:34 PM,
,ooo! it’s one of the best sites ever! :),benessere ,"Apr 8, 2007 ", 10:29 AM,
,"Interessare, molto interessante. Come avete fatto questo?",postali ,"Apr 10, 2007 ", 4:15 AM,
,L’information interessante que vous avez! I’am allant revenir bientot.,digitali ,"Apr 12, 2007 ", 11:49 PM,
,Stupore! Amo questo luogo!:))))))),sardinia ,"Apr 15, 2007 ", 1:05 PM,
,Luogo molto buon:) Buona fortuna!,plain ,"Apr 16, 2007 ", 5:20 PM,
,Zanaflex a muscle relaxant is used to help relax certain muscles in your body. It relieves the spasms and increased muscle tone caused by medical problems such as multiple sclerosis or spinal injury. To buy Zanaflex Online go to http://prescriptiondrugs.noprescriptiondrugstore.us/buy-zanaflex-online.php,Buy Zanaflex ,"Apr 2, 2007 ", 12:43 PM,
,You have an outstanding good and well structured site. I enjoyed browsing through it.,Hillari ,"Jul 6, 2007 ", 12:35 AM,
,Makes sense! Nice article! I’ll Digg right away….,Generic Celexa ,"Mar 10, 2008 ", 4:54 AM,
,It’s about time we have a Juventus blog up in here. Viva Buffon and Camoranesi!!!!!!!!,Matthew ,"Feb 14, 2007 ", 8:05 AM,
,"your right, he is great.",Marcello ,"Feb 14, 2007 ", 12:05 PM,
,1-0… Should have been more against the shittiest in the league.,Sam ,"Mar 31, 2007 ", 5:09 PM,
,i agree sam … juve had many chances but were unable to capatalise on them unfortunately but at least we got the three points and can head into fridays match some 6 points (i think) ahead of second place. hopefully we beat albinoleffe this time instead of a draw like last time we played them.,Sofia ,"Apr 4, 2007 ", 2:06 PM,
,Why have you not updated this site?,Chxta ,"Apr 14, 2007 ", 6:06 AM,
,im a little disappointed…,Marcello ,"Mar 21, 2007 ", 2:39 PM,
,"im disapponted too i was hoping some of the germans could look past italy crushing them in the WC and come play in our beautiful country but i guess not….oh well…
is it for sure that barzagli is coming to juve or is that still just a rumour?
i dont like lampard either, i wish toni would come to juve",Sofia ,"Mar 22, 2007 ", 11:45 AM,
,"i really hope for juve’s sake that your prediction is right…i think the fans there are being a bit too harsh on the team because they are frusterated too becasue they are in serie b and the fans gotta realize that juve isnt perfect and that we cant win everything. And i agree there should be a holiday where juventus jerseys are worn by all and as a little added bonus, we all get to burn Inter jerseys!!! now that would be fun…",Sofia ,"Mar 19, 2007 ", 7:03 AM,
,"Thank you Gianfranco, although im not please with the results but im glad to have the info.",Marcello ,"Mar 12, 2007 ", 9:29 AM,
,i was so pissed watching this game. i couldnt believe that giannichedda screwed us over so badly (this is the first game i’ve watched this season before i was reading the livematch) it was sad. The third goal shouldnt have happened because we should have gotten the free kick that set up the goal in the first place. overall i was very disappointed in the lack of focus the defenders had putting buffon in trouble and exposing him to the other team…overall very poor result hopefully we will redeem ourselves tomorrow..as for trez its too bad that the comittee caught it lol,Sofia ,"Mar 12, 2007 ", 11:47 AM,
,"Thanks for the video. I had to watch that section something like six times before I actually saw the elbow. I guess the suspension is deserved. Sigh. Oh, well, gives him the week to rest up for the France game, right? (Assuming he’s called up.)",Laurie ,"Mar 12, 2007 ", 1:19 PM,
,I need the dirt on Trezeguet! What was he just sanctioned for? (And if you were to include video you’d be my friend forever.),Laurie ,"Mar 11, 2007 ", 10:46 AM,
,"Força Juve!
www.estadiodragao.com",EL pibe ,"Mar 19, 2007 ", 8:19 AM,
,wow i hope juve pick up Metzelder becuase he’s pretty good… as for abidal i think that he still can’t accept the fact that Italia beat france…maybe he needs counselling…,Sofia ,"Mar 9, 2007 ", 11:55 AM,
,4-0 baby!,Marcello ,"Mar 5, 2007 ", 12:01 PM,
,oh and I remember Martha saying Trezegol is a lucky goal scorer. Apparently not today.,Marcello ,"Mar 5, 2007 ", 12:04 PM,
,I saw Pepe play against Chelsea in champions league and he really caught my eye.,Marcello ,"Mar 1, 2007 ", 5:24 PM,
,What are the chances that Miccoli could stay at Benfica?,Inara ,"Apr 29, 2007 ", 5:28 PM,
,"PSV got this young guy Manuel da Costa who really played strongly this CL. After watching him play I said to myself, “Juventus NEEDS this kid!”",Marcello ,"Apr 30, 2007 ", 9:29 AM,
,"i heard that Miccoli didnt really like it at Benfica and that he desperately wanted to return home…i also heard zambro wasnt enjoying his stay at Barca and that he still considers himself a Juventino and that him returning to Juve isnt out of the question…
very good choices:)",Sofia ,"Apr 30, 2007 ", 12:00 PM,
,"I thought that header Marchionni did was going in! well, they all played very good.",Marcello ,"Apr 28, 2007 ", 1:04 PM,
,"Buffon to Necaxa. Now that is funny! BTW, how do you get half a player? Do you get to choose the top half or the bottom?",Bob ,"Apr 25, 2007 ", 3:25 PM,
,Buffon to Necaxa ahahahahahahahahaha now that was the funniest thing i have heard all day…good question bob…which half do you think juve would choose? maybe if almiron comes to juve and gets to play with nedved he will improve…i agree with nedved what they said was uncalled for and disgusting. WE will kick inters ass next season!!!!!!!!!! RIP ANDREA you are truly missed!!!!!,Sofia ,"Apr 25, 2007 ", 4:02 PM,
,I totally agree with Pavel. Stupid Ibrahimabitch,Marcello ,"Apr 25, 2007 ", 6:13 PM,
,hhhahahahahha Ibrahimabitch thats a good one….never thought of that,Sofia ,"Apr 26, 2007 ", 12:03 PM,
,excellent match! definatley didnt seem like two serie b teams! cant wait til next season!!! and i agree i got chills too with all the fans and the amazing footbal it was like being in serie a becuase the fans were totally behind them!,Sofia ,"Apr 24, 2007 ", 2:52 PM,
,"we fought hard but could only manage a 0-0 draw. the only reason rimini stayed in the game was because their goalie saved their ass, also juve should have had something like 6 penelty kicks which is insane that the ref seemed to be the only one on the planet who didnt see them. the red card to birindelli was ludacris as well. overall impressed by juve’s performance but VERY disappointed with the officiating",Sofia ,"Apr 17, 2007 ", 2:22 PM,
,A while ago I herd some shenanigans about Mahamadou Diarra. Just a rumor or did Juve really speak with his manager?,Marcello ,"Apr 17, 2007 ", 9:45 AM,
,Camo was all over the field. Participated in every goal. Well done.,Marcello ,"Apr 16, 2007 ", 3:18 PM,
,"agreedd! excellent and important wins! forza juventus…
umm can this be confirmed because i heard that if juventus finish in serie b, then we may be invited by UEFA to play CL next season as the ’wild card"" . If someone wants to check out the link because its in italian and this is the best i could get from google translate.
LINK: http://blog.libero.it/juventus/",Sofia ,"Apr 16, 2007 ", 4:29 PM,
,"I herd the only way Juve could have been in the UEFA cup let along the Champions leauge was if they won the Coppa Italia, which they have long been out of. We still got 2 more years to go provided we finish in the top 4 of Serie A next year aswell.",Marcello ,"Apr 17, 2007 ", 9:31 AM,
,awwe please dont leave i look forward to reading this blog everyday to get my latest juve news as i am a devout juventina:) i hope we land iaquinta…could be a good addition…..i hate livorno as well…i hope giovinco gets more playtime at juve becuase he played amazing for us on the weekend,Sofia ,"May 16, 2007 ", 2:09 PM,
,Juve will land Iaquinta all Frings did was use the old lady to raise his salary at bremen.And All this speculation who will juve buy is making me pull my hair out!!!!We need to buy some italian players like Barzagli and Iaquinta.And for the 4.5 million that was lost who are we kidding this juve were talking about in serie b and not in the champions league.Look at the 3rd quarter report next year and then well talk.And Gianfranco im a mets fan too since the expos are gone from montreal were you a fan of the great mike piazza?,Anthony ,"May 16, 2007 ", 5:34 PM,
,"I think management will come through in terms of signing good players. This has been and will continue to be the case although I do share your frustration in terms of being underachievers when it comes to South American talent.
However, what I find more confusing is what management will do with all our youngsters. I think we have the best “class” of any of the last twenty or more years and definitely way better than any team in Italy including Roma. Some players are mature enough and should stay on board including Marchisio, Palladini, Paro, Criscito and Mirante. Not sure about the others. Loans are ok but all this talk about selling half a player or incuding De Cigle and Paro in a deal for Barzagli just drives me crazy.
The one player I heard many good things about but have not seen is Nocerino. My fellow colleagues on channel four’s marcello salas thread speak highly of him.
Finally, apologies about not getting some of the names right. There are too many names to remember!!",rossi82 ,"May 18, 2007 ", 11:19 AM,
,"Sofia – you are welcome to join us on http://www.channel4.com/sport/football_italia/
If you go to “forums” we are under Marcello Salas. Yes, a strange name when all the other teams have a ""Forza [team name] combination, but this is now a cult name for Juve fans!
Having sais so, I think this is a great site. Well done amico for all the info and, more importantly, thought that goes into it.",rossi82 ,"May 18, 2007 ", 11:26 AM,
,"rossi82 i agree with you that selling our young players is a bad idea..however loaning them out may be for their (players) best interest as they would probably get more play time on a serie b team therefor building up their skills. i also feel that we should stick with our homegrown talent because like you said we have a lot of it especially with people calling Palladino the heir to Del Piero which is a pretty big tag to put on someone….i dont think that the management will let us down because we all want the and have the same goal—strengthen juve and be uber competitive next season in serie a. oh and i dont know how true this is but i heard that gigi buffon said he doesnt believe juve will be competitve for another 4-5 years.
also rossi82 thank you for the invite…that is slightly a weird cult name but im sure i’ll get used to it…",Sofia ,"May 19, 2007 ", 4:29 AM,
,"sorry, does anyone know the lineup for todays match agasint Arezzo?",Sofia ,"May 19, 2007 ", 4:53 AM,
,"Sofia. You are most welcome.
We call the forum Marcelo Salsa as well! it started as a typo!
All of this does not matter. We are back in Serie A. Right where we belong. A big win…I feel bad for Antonio Conte’s Arrezo but he is a champion so I hope Arrezo managed to stay in B. It has been a tough year and a pretty long one but the worst is out of the way.
As for Buffon, according to Channel 4’s football Italia, yes he did. He said that the worst is yet to come becasue it will hurt if we can not compete and he thinks we will not be able to. If he means what he said then chances are he will be out. This will hurt but Juve was never about a single player even Buffon. Amelia may well be the next big thing. Having said so, I hope Buffon stays. He stood by the team so no one will be engry if he leave unless he goes to inter, or as my wife likes to call them: Shinter!",rossi82 ,"May 19, 2007 ", 10:25 AM,
,"Gianfranco. How about bringing back Enzo?! He is Juve through and through. Also, don’t we still own him or has he been sold to Seville?",rossi82 ,"May 20, 2007 ", 10:00 AM,
,The Dream his finaly reality!!! We reached promotion now its transfer time i wouldint bring back marseca or miccoli. For miccoli we should make a swap deal for Luisao cause are defence probably wont cut it for top flight football. And DD dosint seem confident about next year we need a coach who is confident and puts confidence in others.,Anthony ,"May 20, 2007 ", 1:50 PM,
,What is wrong with Enzo. He is a solid player who fell our with the Chin Capello! He has been great with Seville.,rossi82 ,"May 21, 2007 ", 10:43 AM,
,"La Bella Signora Ritornò… Now it’s time to strengthen up our team, and light Serie A on fire.",Michael ,"May 22, 2007 ", 9:31 AM,
,pssshhhh Serie A is not gonna know what hit em now that we are back!!! does evil laugh,Sofia ,"May 22, 2007 ", 12:11 PM,
,heard juve is cming to T.O for a friendly aginst TFC,Sofia ,"May 24, 2007 ", 12:48 PM,
,"You should never of sold Patrick Viera. He is the perfect midfielder for a team like Juventus.
By the way, have you been on this site.
http://www.topfootballers.co.uk/
Thankyou for reading my article.",Ian ,"May 28, 2007 ", 12:22 PM,
,"I hope that Juventus challenge for the title next year. They have certainly got the quality to.
By the way, have you been on this site.
http://www.topfootballers.co.uk/",Ian ,"May 31, 2007 ", 1:32 PM,
,tuni,agim ,"Oct 10, 2007 ", 4:26 AM,
,"Ciao Gianfranco, I’ve recently found your Juve blog; as a fellow Juventino living in New York, I really appreciate your unique insight regarding the matches we’ve played (some of which were not broadcast on RAI international) and team news (especially your transfer market opinions). I’m also happy to hear that you’re a fellow Met fan, and I want to mention that I’m starting a new stadium chant for Jose Reyes. Currently we sing the “ole’ – ole’ ole’ ole’ World Cup chant”, changing the last ole’ to Jose. My new chant takes the Pavel Nedved chant, and reworks it to “Ole’ Jose Reyes – Reyes”… I hope you’ll be able to hear us on Friday. Forza Juve, and Let’s Go Mets!",Michael ,"May 10, 2007 ", 8:21 AM,
,"Well put Gianfranco. I have been a die hard juventino since 1982. In the process, I have witnessed many a sad campaigns by sorry Inter. What struck me each and every time as being shocking is how insecure this team is about its Italian identity such that they bid low for Italian players and high for foreign players. This, coupled with an endless list of excuses, phone tapping and cry-wolfs, have resulted in a serious case of lack of respect! they an enjoy their paper cup but yesterday’s thrashing by Roma should be a warning of things to come.",rossi82 ,"May 10, 2007 ", 11:58 AM,
,definately agree with you rossi82 i hate how inter run their campaigns with all these foreign players and then act like its nothing. i was dying of laughter when i found out what the roma-inter score was because inter got demolished….i just hope that roma can do it again next week just to make inter look bad haha,Sofia ,"May 10, 2007 ", 12:11 PM,
