Article Title,Article Author,Article Publish Date,Comment Title,Comment Body,Comment Poster,Comment Date,Comment Time,Comment Recs
Juventus vs. Palermo Preview: Round 27 — Pretty in pink?,Danny Penza,"Mar 13, 2015, 12:35pm PDT",,"I would play
Storari
Lich (or Caceres not the one playing vs BvB)-Barzagli-Ogbonna-De Ceglie
Vidal-Sturaro-Pepe
Pereyra
Matri-Llorente
Rest everyone apart from Vidal and Pereyra. We are +11 in league, worst case scenario we are +8 (or +10 considering Romas form) at the end of the weekend.
We need to at physical peak vs BVB.
Fino Alla Fine.",DonZia ,"Mar 13, 2015 ", 1:57 PM,
Juventus vs. Palermo Preview: Round 27 — Pretty in pink?,Danny Penza,"Mar 13, 2015, 12:35pm PDT",,"Id do the same.
Just one thing…. Caceres is out for rest of season. I’d play Padoin right back.",Paolo C ,"Mar 13, 2015 ", 4:36 PM,
Juventus vs. Palermo Preview: Round 27 — Pretty in pink?,Danny Penza,"Mar 13, 2015, 12:35pm PDT",This is what SkyItalia is showing,"3-5-2

Buffon
Barzagli-Bonucci-Chiellini
Licht-Sturaro-March-Peryra-DeCegl
Llorente-Tevez",Paolo C ,"Mar 13, 2015 ", 6:05 PM,
Juventus vs. Palermo Preview: Round 27 — Pretty in pink?,Danny Penza,"Mar 13, 2015, 12:35pm PDT",The bloody 352 again.,Looks like im sleeping through this match.,DonZia ,"Mar 13, 2015 ", 7:28 PM,
Juventus vs. Palermo Preview: Round 27 — Pretty in pink?,Danny Penza,"Mar 13, 2015, 12:35pm PDT",,"I’m always with you on this sentiment but if it gives us a chance to rest an extra midfielder pre-Dortmund (say Vidal) I’m ok with it this time round.
This is something I am liking about Allegri (if he does rotate) that to a certain extent he gives different games appropriate weight.
I think he underdid rotation a bit earlier in the season (and slightly overdid it in Coppa semis) but its good to see he adjusts.",Paolo C ,"Mar 13, 2015 ", 8:41 PM,
Juventus vs. Palermo Preview: Round 27 — Pretty in pink?,Danny Penza,"Mar 13, 2015, 12:35pm PDT",I get what ur saying but...,"…Vidal atm doesnt need rest. He needs game time and plenty of it to get back his form. Playing lower league teams can maybe help that. Boost his confidence, Pereyra aswell for that same reason not form but confidence.",DonZia ,"Mar 14, 2015 ", 7:23 AM,
Juventus vs. Palermo Preview: Round 27 — Pretty in pink?,Danny Penza,"Mar 13, 2015, 12:35pm PDT",,The only thing that makes my face lights up is Barza-Bonucci-Chiello omg omg omg :),Nathan RB ,"Mar 13, 2015 ", 9:48 PM,
Juventus vs. Palermo Preview: Round 27 — Pretty in pink?,Danny Penza,"Mar 13, 2015, 12:35pm PDT",,Starting Steiner? Really?,Zenpath ,"Mar 14, 2015 ", 12:40 AM,
Juventus vs. Palermo Preview: Round 27 — Pretty in pink?,Danny Penza,"Mar 13, 2015, 12:35pm PDT",,Sky did get it uncharacteristically wrong last game pre-Dortmund so I don’t know if this will actually be the line-up.,Paolo C ,"Mar 14, 2015 ", 1:09 AM,
Juventus vs. Palermo Preview: Round 27 — Pretty in pink?,Danny Penza,"Mar 13, 2015, 12:35pm PDT","Licht, Marchisio, and Tevez need to rest before Dortmund game","I hope Padoin, Pepe, and Morata play instead.
Buffon
Barzagli-Bonucci-Chiellini
Pepe-Padoin-Sturaro-Peryra-DeCegl
Llorente-Morata",mass19 ,"Mar 14, 2015 ", 6:41 AM,
