Article Title,Article Author,Article Publish Date,Comment Title,Comment Body,Comment Poster,Comment Date,Comment Time,Comment Recs
Five Juventus questions to be answered in 2016,JRob,"Jan 4, 2016, 3:00pm PST",,"Will Caceres play a double-digit number of games?
Find out in the next episode of A man made of glass.
Srs time. I think Berardi will come, Morata will stay, we will win the 5th Scudetoo. No bets for Pogba and Bayern.",T.Vgen ,"Jan 4, 2016 ", 3:10 PM,
Five Juventus questions to be answered in 2016,JRob,"Jan 4, 2016, 3:00pm PST",,"Pogba be like Far Cry 4 ""Should I stay or should I go?""",amirnyc ,"Jan 4, 2016 ", 3:37 PM,
Five Juventus questions to be answered in 2016,JRob,"Jan 4, 2016, 3:00pm PST",happy new year everyone,"1. yes we could win the title again but our form and that of the other front runnners will be the important going forward.
2. At present i think that match is 50/50 right now so no real prediction there, ask me the day of the first leg. also i would like to point out the growth we have had under Max in Europe i think we might be able to go all the way if not this season then next , when we buy ISCO.
3. i think he stays till after the WC 2018.
4. if this were yesterday i would say @ juve as a striker for yesrs to come but with todays news of Rafs sacking i think he maybe heading back to madrid soon.
5. i hope he comes, there has been alot talk and reports claiming different things do i am a bit unsure of his final destination but really hope he arrives in Turin. Also there been alot of comments here of where he will play i believe Max see him as a SS.",juvetrini ,"Jan 4, 2016 ", 4:00 PM,
Five Juventus questions to be answered in 2016,JRob,"Jan 4, 2016, 3:00pm PST",,"Nappy Yew Hear, Trini!
Missed the typos!!!",Giles09 ,"Jan 5, 2016 ", 8:39 AM,
Five Juventus questions to be answered in 2016,JRob,"Jan 4, 2016, 3:00pm PST",,"Where have you been, JRob?",JDAngkasa ,"Jan 4, 2016 ", 5:57 PM,
Five Juventus questions to be answered in 2016,JRob,"Jan 4, 2016, 3:00pm PST",,I was buried in work for the last 4 months. My first semester is terribly busy. But now I am back. I barely had time to check out Juve games and check out the blog from time to time. I’ll be hanging around here more often now. It was great reading all the comments and seeing the new regulars.,JRob ,"Jan 4, 2016 ", 7:43 PM,
Five Juventus questions to be answered in 2016,JRob,"Jan 4, 2016, 3:00pm PST",Hi,"Just finished my first semester, it was horrible.",Nathan RB ,"Jan 5, 2016 ", 2:11 AM,
Five Juventus questions to be answered in 2016,JRob,"Jan 4, 2016, 3:00pm PST",I see,"Nevertheless, you need to free up some time and seek immediate help. Split personality is a not an easy thing to deal with.",JDAngkasa ,"Jan 5, 2016 ", 2:33 AM,
Five Juventus questions to be answered in 2016,JRob,"Jan 4, 2016, 3:00pm PST",,Dr. JRob and Mr. Robin,Giles09 ,"Jan 5, 2016 ", 8:41 AM,
Five Juventus questions to be answered in 2016,JRob,"Jan 4, 2016, 3:00pm PST",,That’s why I graduated. NO MORE SEMESTERS!,Danny Penza ,"Jan 6, 2016 ", 2:06 AM,
Five Juventus questions to be answered in 2016,JRob,"Jan 4, 2016, 3:00pm PST","OT, regarding the sacking of Benitez",Brilliant…,MatteoX ,"Jan 4, 2016 ", 5:59 PM,
Five Juventus questions to be answered in 2016,JRob,"Jan 4, 2016, 3:00pm PST",,"Will be very interesting to see what kind of demeanour he carries as a coach. Will he be similar as he was as a player (i.e., for the most part emotionless with the occasional sprinkling of extreme rage)?
I took in Juve vs Milan at the San Siro last year in what would have been one of Inzaghi’s first games. He was pretty different on the bench from how he behaved as a player. On the bench, the only way to describe his behaviour is that of a total spaz. He would gesture wildly, constantly shouting at no one in particular, just a complete bundle of nerves. Wasn’t a pretty sight.",Juve 96 ,"Jan 4, 2016 ", 7:54 PM,
Five Juventus questions to be answered in 2016,JRob,"Jan 4, 2016, 3:00pm PST",,"1. Yes; 2. Elimination by BM, but building good base for next season 3. No 4. RM 5. Yes",Ricardo 1 ,"Jan 4, 2016 ", 6:42 PM,
Five Juventus questions to be answered in 2016,JRob,"Jan 4, 2016, 3:00pm PST",,Can’t tell if sarcastic or not.,MLG Bush ,"Jan 4, 2016 ", 6:48 PM,
Five Juventus questions to be answered in 2016,JRob,"Jan 4, 2016, 3:00pm PST",,nope,Ricardo 1 ,"Jan 5, 2016 ", 9:39 AM,
Five Juventus questions to be answered in 2016,JRob,"Jan 4, 2016, 3:00pm PST",OT Cliffnotes from Calciomercato with DiMarzio,"- Juve target ‘Allison’ to join Roma for 7m in June
- Mandragora will cost Juve 6-7m
- Juve will make a 11-12m offer in the summer for Mkhitaryan if BVB fails to extend his contract. Raiola also said previously there was a 50% chance Mkhi could join Juve.
- After being on verge of signing Mandragora, Juve could help Palermo land Sensi- they could control the two players compared to Verratti
-Juve working to sign Di Celso from Rosario Central in collaboration with Sassuolo, could stay in Argentina till June ( valued at 6m ) (Source Luca Marchetti)",saNtizzle ,"Jan 4, 2016 ", 7:52 PM,
Five Juventus questions to be answered in 2016,JRob,"Jan 4, 2016, 3:00pm PST",,"- We will win scudetto BUT i expect a slow january,Allegri works the players to ground during breaks so just like last season I am expecting a so-so january (not as bad as start of the season) and then bursting into form right before the BM game.
- Honestly it will depend on BM 1) how are they taking the pep exit, burst into form like they did under heckynes or lets just get over with this season and 2) how man of BM’s wingers stay fit. If its just Costa and Coman on wings and mueller as spport we shd be ok. Marchisio can help with mueller and sandro vs Costa will be fun and Licht can take care of Coman. Problem will arise if Robben or ESPECIALLY RIbery is fit than the right side will hv problem. Pogba vs Vidal will be fun to (i fully expec vidal to be asked to mark Pogba). Anyway it pans out its going to be very interesting match. Our squad has improved leaps and bounds since we last met them while they are pretty much the same or less. Also Allegri vs Pep again.
- As i noted in a long ass post in a few threads back I dont see Pogba leaving. BM wont spend that much money, Barcelona apprently dont hv that much money,PSG and City wont be his destination they are at the same level as us and Perez doesnt like his agent tho if Zidane turns out like conte instead of inzaghi he might request Pogba. He does like Pogba so that is very possible. He might leave in 2017 for Barcelona or City (if pep stables the ship by then) tho I also doubt that as before WC shifting to new club/country with different type of play might affect his position in WC. Most likely if he moves will be after WC 2018, but if we lose to BM this UCL and he ends up feeling like he cant win UCL here in next 2 or 3 seasons he might pack his bags and jump.
- It depends on whether morata can make the jump psychologically as out of Mandzukic, zaza and him, he is the most talented (i know diff style of play but he has more talent), He just need to get his psych straight then he can cement his place. If he cements his place and Zidane’s RM turns meh he will stay if not its 50-50
- He will arrive and will stay I am sure about it.
P.S. off topic any slim chance of Isco arriving now has flown out of window with Rafa gone I expect him to stick around till summer at least to see whether he is in Zidane’s plans.",SJ_JUVE ,"Jan 4, 2016 ", 9:10 PM,
Five Juventus questions to be answered in 2016,JRob,"Jan 4, 2016, 3:00pm PST",,"He might leave in 2017 for Barcelona or City (if pep stables the ship by then) tho I also doubt that as before WC shifting to new club/country with different type of play might affect his position in WC
Even if going to a different club, Pogba would be an automatic inclusion for the French WC side.",six8six ,"Jan 4, 2016 ", 10:16 PM,
Five Juventus questions to be answered in 2016,JRob,"Jan 4, 2016, 3:00pm PST",There are zero French midfielders that could be kind of seen as better than him.,"Matuidi is good, definitely not very good or great. Schnedierlin is great but doesn’t get a ton of time in France and is a DM not a CM. Outside of that, they’ve got no one. Two box-to-box midfielders and a few good DMs – the rest comes from the wings (Ribery, Nasri, Griezmann, etc.) or CF (Benzema, Lacazette).",semperty ,"Jan 4, 2016 ", 10:20 PM,
Five Juventus questions to be answered in 2016,JRob,"Jan 4, 2016, 3:00pm PST",,I remember the Kondogbia > Pogba at the begin of the season on Twitter :’),saNtizzle ,"Jan 4, 2016 ", 10:27 PM,
Five Juventus questions to be answered in 2016,JRob,"Jan 4, 2016, 3:00pm PST",I avoid talking football on twitter at all costs.,"There are Arsenal out there who, in all seriousness, said, ""Neymar is a poor man’s Sanchez"" and ""Busquets and Coq debatable."" There are Chelsea fans that argue that Hazard > Neymar. Barcelona fans are irrationally negative about the team.
There’s a lot of stupidity on twitter.",semperty ,"Jan 4, 2016 ", 10:32 PM,
Five Juventus questions to be answered in 2016,JRob,"Jan 4, 2016, 3:00pm PST",,"I remember this one deluded Arsenal fan on Twitter saying that ""Özil is bigger than Juve"", lol. Felt like laughing so hard.",MLG Bush ,"Jan 5, 2016 ", 4:35 AM,
Five Juventus questions to be answered in 2016,JRob,"Jan 4, 2016, 3:00pm PST",,"I avoid talking football on twitter at all costs.
Yet you have a huge ""follow me on Twitter"" button in your profile signature when commenting on a board specifically about football.",MatteoX ,"Jan 5, 2016 ", 5:26 AM,
Five Juventus questions to be answered in 2016,JRob,"Jan 4, 2016, 3:00pm PST",,Brilliant,Zenpath ,"Jan 5, 2016 ", 6:23 AM,
Five Juventus questions to be answered in 2016,JRob,"Jan 4, 2016, 3:00pm PST",,"There are zero French midfielders that could be kind of seen as better than him.
Matuidi is good
Didn’t blaise recently win French footballer of the year?",dweb ,"Jan 5, 2016 ", 5:46 AM,
Five Juventus questions to be answered in 2016,JRob,"Jan 4, 2016, 3:00pm PST",,"Was just about to quote the second line you did. Matuidi is very good, maybe great IMO. Watching him play is a lot of fun, few people can command a midfield like he can.
He’s a beast and he would’ve been the perfect Vidal replacement in an unrealistic, perfect world.",Anthony Turgelis ,"Jan 5, 2016 ", 6:13 AM,
Five Juventus questions to be answered in 2016,JRob,"Jan 4, 2016, 3:00pm PST",,Yup. Matuidi is the ideal B2B to me. Always love watching his runs forward in support. Pogba-Blaise partnership is awesome with France.,dweb ,"Jan 5, 2016 ", 6:15 AM,
Five Juventus questions to be answered in 2016,JRob,"Jan 4, 2016, 3:00pm PST",,"Yup love him too, massively underrated",Zenpath ,"Jan 5, 2016 ", 6:23 AM,
Five Juventus questions to be answered in 2016,JRob,"Jan 4, 2016, 3:00pm PST",I've just never been impressed by his footballing ability.,"He’s a lot like Yaya Toure, in my opinion – really physical player that lacks the technical side. And I’ve just never been impressed by the physical guys that struggle to do the simple things.",semperty ,"Jan 5, 2016 ", 8:59 AM,
Five Juventus questions to be answered in 2016,JRob,"Jan 4, 2016, 3:00pm PST",,"Yaya has technique.
He learned how to adapt technique to his physical game, and I believe he excels at it.",Giles09 ,"Jan 5, 2016 ", 9:52 AM,
Five Juventus questions to be answered in 2016,JRob,"Jan 4, 2016, 3:00pm PST",I disagree.,"He doesn’t pass overly well, he tackles incredibly (incredibly) poor, he commits more fouls than he suffers, he’s just physical and dribbles well. He’s about as ""English"" as it gets in terms of style – physical, pushes his way to wherever he wants to go, and dribbles well – and there’s just very, very little about that game that I value.
Honestly, if he did randomly hit absurd shots I don’t think anyone in the world would continue to give him a second glance. He doesn’t defend, he doesn’t link up, he’s prone to extended periods of poor play, and then boom goal and people go crazy.",semperty ,"Jan 5, 2016 ", 10:06 AM,
Five Juventus questions to be answered in 2016,JRob,"Jan 4, 2016, 3:00pm PST",I honestly don't know,"But if he did it’s laughable. He’s good, but I wouldn’t say he’s anything more than that. He’s not as remotely as good as Pogba, in my opinion (and yes, I watch PSG a lot). He’s fast and strong, but his technical skill is severely lacking, in my opinion.",semperty ,"Jan 5, 2016 ", 8:54 AM,
Five Juventus questions to be answered in 2016,JRob,"Jan 4, 2016, 3:00pm PST",,"Matuidi, 28, has been given the accolade for his excellence at club level — he won every domestic trophy with PSG last season — and his development into one of the France team’s key players.

The award is based on the votes of previous winners including Thierry Henry, Zinedine Zidane and Karim Benzema, who won it in 2014.

Matuidi beat Juventus midfielder Paul Pogba by 12 points in the voting system, with Atletico Madrid’s Antoine Griezmann, Real Madrid defender Raphael Varane and Lyon striker Alexandre Lacazette making up the rest of the top five.
Link.",dweb ,"Jan 5, 2016 ", 8:58 AM,
Five Juventus questions to be answered in 2016,JRob,"Jan 4, 2016, 3:00pm PST",,"you are forgetting in early season how pogba was performing under pressure. If he grows being used to pressure of making hole team tick then yes he will be fine if not under new environment and asking to play pep/barca style and all he might not immediately deliver and with media jumping to conclusions and if other french mids like you mention + kongdobia (hv to leave inter) he could lose starting place at france national team, didnt meant being excluded from tournament.",SJ_JUVE ,"Jan 5, 2016 ", 6:57 AM,
Five Juventus questions to be answered in 2016,JRob,"Jan 4, 2016, 3:00pm PST",,"1. yes- I think the title will be completely dependent on if we win it or not. We’re close enough that we don’t need a miracle or anything. If our forms stays good not great we will win it because everyone else in top will drop points along the way.
2. It’s a 40-60 Bayern imo right now. I think they’re a slightly better team, but not like we’re massive underdogs either. But I think form going into mid February and injuries will tell tale before a ball is kicked.
3. i think this all depends on the euros. If he has a James type euros like he did World Cup or even wins it with France. I don’t think he will stay especially if zidane is their talking in his ear and still manager for RM, along with benzema. No if he is so so or France crashes out. I think he will stay to prove he can try and win a cl with juve and be the guy.
4. i think it comes to play time and belief by the team. If he plays well and consistently he won’t wanna leave. If he keeps getting time like he has this season for whole year or next he’s gone.
5. i think he comes, I think he didn’t come earlier cuz of conte and allegri had no choice last year and berardi had already made a decision to stay. I think in a two striker system he is perfect cover for dybala as ss. And and any front three 4-3-1-2,4-3-3,4-3-2-1 he fits in somewhere in allegris plans.
6. This is just for me and cuz I’m really curious. Plus people will hate me all things aside aka cup status, money, and team. Currently played for.
If you could have Isco or eriksen based on just their on the field play and ability who would you take. I think everyone knows my answer. Not that I don’t like Isco he is great. And remember nothing else matters besides on field ability. Discuss guys",nickdill40 ,"Jan 4, 2016 ", 10:00 PM,
Five Juventus questions to be answered in 2016,JRob,"Jan 4, 2016, 3:00pm PST",,"Isco, no question.
We won’t get Isco – Zidane back in charge (who wanted Real to sign best young Spanish players) and he has a big market in England. I reckon there’s a 60-70% chance that if Allegri is our coach next season then Oscar will be the star trequartista he wants. I’d be delighted if that happens.",Il Gigante Buono ,"Jan 5, 2016 ", 12:18 AM,
Five Juventus questions to be answered in 2016,JRob,"Jan 4, 2016, 3:00pm PST",,"Oscar will be the star trequartista he wants. I’d be delighted if that happens.
I’m not sure I would be. I’m just not a big fan of his.",six8six ,"Jan 5, 2016 ", 1:13 AM,
Five Juventus questions to be answered in 2016,JRob,"Jan 4, 2016, 3:00pm PST",,Though it’d clearly be an upgrade to what we have there now.,six8six ,"Jan 5, 2016 ", 1:16 AM,
Five Juventus questions to be answered in 2016,JRob,"Jan 4, 2016, 3:00pm PST",,Me too. Not a big fan of Oscar.,COSMOB3AR ,"Jan 5, 2016 ", 1:22 AM,
